# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_dcdm           16:gr.fac. D             17:gr.fac. f          
       1.429970730152e+09       3.696915230773e-16       3.241685280955e-04       4.411198078634e+12       1.414490158179e+04       9.891742029151e-06       2.022679525698e+13       1.871587644616e-04       1.150502761238e+25       7.216084016267e+18       3.253419303998e+16       3.510489637255e-08       7.953594424236e+24       1.945866848894e+25       3.920370261272e+19       9.100156133973e-05       1.526718942433e-01 
       1.420030516488e+09       3.748853172186e-16       3.264377064625e-04       4.350083788095e+12       1.414490157952e+04       9.960984222047e-06       2.008619190978e+13       1.884688748758e-04       1.118844633309e+25       7.066643286206e+18       3.186042960418e+16       3.510489637255e-08       7.734737140041e+24       1.892322896345e+25       3.839181767259e+19       9.109847620528e-05       1.525094984432e-01 
       1.410159400635e+09       3.801520789301e-16       3.287227682449e-04       4.289816196694e+12       1.414490157723e+04       1.003071111027e-05       1.994656594433e+13       1.897881560497e-04       1.088057635025e+25       6.920297383163e+18       3.120061940109e+16       3.510489637255e-08       7.521902102926e+24       1.840252300142e+25       3.759674637789e+19       9.119539108600e-05       1.523474479723e-01 
       1.400356902270e+09       3.854928333322e-16       3.310238262202e-04       4.230383573957e+12       1.414490157493e+04       1.010092608670e-05       1.980791056653e+13       1.911166721785e-04       1.058117795707e+25       6.776982215143e+18       3.055447346773e+16       3.510489637255e-08       7.314923600062e+24       1.789614518281e+25       3.681814052819e+19       9.129230598201e-05       1.521857417322e-01 
       1.390622544411e+09       3.909086199474e-16       3.333409913466e-04       4.171774351930e+12       1.414490157262e+04       1.017163256794e-05       1.967021902950e+13       1.924544879067e-04       1.029001804270e+25       6.636635017460e+18       2.992170882534e+16       3.510489637255e-08       7.113640478501e+24       1.740370124342e+25       3.605565913412e+19       9.138922089345e-05       1.520243786292e-01 
       1.380955853389e+09       3.964004929022e-16       3.356743764016e-04       4.113977122924e+12       1.414490157028e+04       1.024283399453e-05       1.953348463323e+13       1.938016683312e-04       1.000686991077e+25       6.499194325246e+18       2.930204835548e+16       3.510489637255e-08       6.917896019706e+24       1.692480776794e+25       3.530896826795e+19       9.148613582044e-05       1.518633575743e-01 
       1.371356358828e+09       4.019695211326e-16       3.380240959814e-04       4.056980637296e+12       1.414490156793e+04       1.031453383109e-05       1.939770072433e+13       1.951582790048e-04       9.731513102830e+24       6.364599946532e+18       2.869522067869e+16       3.510489637255e-08       6.727537817530e+24       1.645909189140e+25       3.457774091741e+19       9.158305076310e-05       1.517026774830e-01 
       1.361823593624e+09       4.076167885922e-16       3.403902628634e-04       4.000773801263e+12       1.414490156557e+04       1.038673556649e-05       1.926286069563e+13       1.965243859390e-04       9.463733226769e+24       6.232792935891e+18       2.810096003558e+16       3.510489637255e-08       6.542417659551e+24       1.600619100887e+25       3.386165684248e+19       9.167996572156e-05       1.515423372754e-01 
       1.352357093918e+09       4.133433944627e-16       3.427729934629e-04       3.945345674735e+12       1.414490156318e+04       1.045944271401e-05       1.912895798589e+13       1.979000556074e-04       9.203321789838e+24       6.103715568617e+18       2.751900617050e+16       3.510489637255e-08       6.362391411674e+24       1.556575249315e+25       3.316040243507e+19       9.177688069596e-05       1.513823358764e-01 
       1.342956399076e+09       4.191504533685e-16       3.451724023762e-04       3.890685469192e+12       1.414490156078e+04       1.053265881154e-05       1.899598607950e+13       1.992853549490e-04       8.950076036342e+24       5.977311315449e+18       2.694910421753e+16       3.510489637255e-08       6.187318905911e+24       1.513743342018e+25       3.247367058175e+19       9.187379568641e-05       1.512226722150e-01 
